0x0,Successful login
0x5,STATUS_ACCESS_DENIED
0x00000005,STATUS_ACCESS_DENIED
0xC0000017,STATUS_NO_MEMORY
0xC0000022,STATUS_ACCESS_DENIED
0xC000005E,STATUS_NO_LOGON_SERVERS
0xC0000064,STATUS_NO_SUCH_USER
0xC000006A,STATUS_WRONG_PASSWORD
0xC000006C,STATUS_PASSWORD_RESTRICTION
0xC000006D,STATUS_LOGON_FAILURE
0xC000006E,STATUS_ACCOUNT_RESTRICTION
0xC000006F,STATUS_INVALID_LOGON_HOURS
0xC0000070,STATUS_INVALID_WORKSTATION
0xC0000071,STATUS_PASSWORD_EXPIRED
0xC0000072,STATUS_ACCOUNT_DISABLED
0xC000009A,STATUS_INSUFFICIENT_RESOURCES
0xC00000DC,STATUS_INVALID_SERVER_STATE
1073741604,STATUS_INVALID_SERVER_STATE
0xC000018A,STATUS_NO_TRUST_LSA_SECRET
0xC0000192,STATUS_NETLOGON_NOT_STARTED
0xC0000193,STATUS_ACCOUNT_EXPIRED
0xC0000224,STATUS_PASSWORD_MUST_CHANGE
0xC0000234,STATUS_ACCOUNT_LOCKED_OUT
0xC0020050,RPC_NT_CALL_CANCELLED
1073610672,RPC_NT_CALL_CANCELLED
